# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalSafepointCount,1782188878040000000,1782188938052000000,99
AWTEventQueue.dispatchTimeMaxNs,1782188878040000000,1782188938052000000,223346687
AWTEventQueue.dispatchTimeAvgNs,1782188878040000000,1782188938052000000,887418.6563129134
FlushQueue.queueSize90P,1782188878040000000,1782188938052000000,158
FlushQueue.executionTimeMaxNs,1782188878040000000,1782188938052000000,222298111
FlushQueue.waitingTimeAvgNs,1782188878040000000,1782188938052000000,4.9056709022809125E7
AWTEventQueue.dispatchTime90PNs,1782188878040000000,1782188938052000000,444415
FlushQueue.queueSizeMax,1782188878040000000,1782188938052000000,297
FlushQueue.executionTime90PNs,1782188878040000000,1782188938052000000,337919
FlushQueue.queueSizeAvg,1782188878040000000,1782188938052000000,47.29051620648259
FlushQueue.tasksExecuted,1782188878040000000,1782188938052000000,2499
NonBlockingReadAction.failedExecutionsCount,1782188878040000000,1782188938052000000,0
AWTEventQueue.eventsDispatched,1782188878040000000,1782188938052000000,3477
NonBlockingReadAction.failedExecutionTimeUs,1782188878040000000,1782188938052000000,0
NonBlockingReadAction.finalizedExecutionsCount,1782188878040000000,1782188938052000000,89
WriteAction.executionsCount,1782188878040000000,1782188938052000000,9
FlushQueue.executionTimeAvgNs,1782188878040000000,1782188938052000000,622848.0784313725
NonBlockingReadAction.finalizedExecutionTimeUs,1782188878040000000,1782188938052000000,235737
FlushQueue.waitingTime90PNs,1782188878040000000,1782188938052000000,174063615
ReadAction.executionsCount,1782188878040000000,1782188938052000000,97786
AWTEventQueue.dispatchTimeTotalNS,1782188878040000000,1782188938052000000,3085886040
FlushQueue.waitingTimeMaxNs,1782188878040000000,1782188938052000000,390070271
FilePageCache.pageFastCacheHits,1782188878040000000,1782188938052000000,16848
StorageLockContext.competingThreads.90P,1782188878040000000,1782188938052000000,0
MappedFileStorage.totalPagesMapped,1782188878040000000,1782188938052000000,15
FilePageCache.pageLoadsAboveSizeThreshold,1782188878040000000,1782188938052000000,55
StorageLockContext.competingThreads.max,1782188878040000000,1782188938052000000,0
DirectByteBufferAllocator.disposed,1782188878040000000,1782188938052000000,603
FilePageCache.capacityInBytes,1782188878040000000,1782188938052000000,629145600
DirectByteBufferAllocator.reclaimed,1782188878040000000,1782188938052000000,98
DirectByteBufferAllocator.hits,1782188878040000000,1782188938052000000,56
FilePageCache.pageHits,1782188878040000000,1782188938052000000,336
MappedFileStorage.totalBytesMapped,1782188878040000000,1782188938052000000,198443008
FilePageCache.pageLoads,1782188878040000000,1782188938052000000,608
StreamlinedBlobStorage.recordsRelocated,1782188878040000000,1782188938052000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1782188878040000000,1782188938052000000,4194304
FilePageCache.maxCacheSizeInBytes,1782188878040000000,1782188938052000000,629153792
FilePageCache.maxRegisteredFiles,1782188878040000000,1782188938052000000,1649
DirectByteBufferAllocator.misses,1782188878040000000,1782188938052000000,607
FilePageCache.disposedBuffers,1782188878040000000,1782188938052000000,659
StreamlinedBlobStorage.recordsDeleted,1782188878040000000,1782188938052000000,268
MappedFileStorage.totalTimeSpentOnMappingUs,1782188878040000000,1782188938052000000,5411
FilePageCache.totalPageDisposalsUs,1782188878040000000,1782188938052000000,1448
FilePageCache.totalPageLoadsUs,1782188878040000000,1782188938052000000,222239
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1782188878040000000,1782188938052000000,41959424
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1782188878040000000,1782188938052000000,3434741
StorageLockContext.competingThreads.avg,1782188878040000000,1782188938052000000,0.0
MappedFileStorage.storages,1782188878040000000,1782188938052000000,15
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1782188878040000000,1782188938052000000,848390
FileChannelInterruptsRetryer.totalRetriedAttempts,1782188878040000000,1782188938052000000,0
StreamlinedBlobStorage.recordsAllocated,1782188878040000000,1782188938052000000,45990
FilePageCache.uncachedFileAccess,1782188878040000000,1782188938052000000,552
compiler.ArtifactManagerBridge.getArtifacts.ms,1782188938052000000,1782188998052000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1782188938052000000,1782188998052000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1782188938052000000,1782188998052000000,0
compiler.ArtifactManagerBridge.commit.ms,1782188938052000000,1782188998052000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1782188938052000000,1782188998052000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1782188938052000000,1782188998052000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1782188938052000000,1782188998052000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1782188938052000000,1782188998052000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1782188938052000000,1782188998052000000,0
writeAction.wait.ms,1782188938052000000,1782188998052000000,31
DiskQueryRelay.taskWaitingTotalTimeUs,1782188938052000000,1782188998052000000,1077
writeAction.median.wait.ms,1782188938052000000,1782188998052000000,0
writeAction.count,1782188938052000000,1782188998052000000,3
LowMemory.gcOverloaded,1782188938052000000,1782188998052000000,0
lexer.XML.time.ns,1782188938052000000,1782188998052000000,163750
DiskQueryRelay.tasksRequested,1782188938052000000,1782188998052000000,18
DiskQueryRelay.taskExecutionTotalTimeUs,1782188938052000000,1782188998052000000,659
LowMemory.gcLoad,1782188938052000000,1782188998052000000,2.7821340960336335E-4
writeAction.max.wait.ms,1782188938052000000,1782188998052000000,37
lexer.XML.size.bytes,1782188938052000000,1782188998052000000,2319
DiskQueryRelay.tasksExecuted,1782188938052000000,1782188998052000000,18
Indexes.entries.lookupDuration90PMs,1782188938052000000,1782188998052000000,0.0
Indexes.allKeys.lookupDurationAvgMs,1782188938052000000,1782188998052000000,0.0
Indexes.stubs.lookupDurationMaxMs,1782188938052000000,1782188998052000000,0.0
Indexing.writer_1.totalTimeSpentWritingMs,1782188938052000000,1782188998052000000,0
Indexes.allKeys.lookupDurationMaxMs,1782188938052000000,1782188998052000000,0.0
Indexing.cache.totalCacheAccesses,1782188938052000000,1782188998052000000,4
Indexing.writer_0.totalTimeSpentWritingMs,1782188938052000000,1782188998052000000,0
Indexing.cache.totalCacheMisses,1782188938052000000,1782188998052000000,1
Indexes.stubs.lookupDurationAvgMs,1782188938052000000,1782188998052000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1782188938052000000,1782188998052000000,0
Indexing.cache.totalCacheEvicted,1782188938052000000,1782188998052000000,1
Indexing.writesQueuedMin,1782188938052000000,1782188998052000000,0
Indexes.allKeys.lookups,1782188938052000000,1782188998052000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1782188938052000000,1782188998052000000,0
Indexes.stubs.lookupDuration90PMs,1782188938052000000,1782188998052000000,0.0
Indexes.stubs.lookups,1782188938052000000,1782188998052000000,0
Indexing.writesQueuedMax,1782188938052000000,1782188998052000000,0
Indexes.entries.lookupDurationMaxMs,1782188938052000000,1782188998052000000,0.0
Indexes.entries.lookups,1782188938052000000,1782188998052000000,1
Indexes.allKeys.lookupDuration90PMs,1782188938052000000,1782188998052000000,0.0
Indexes.entries.lookupDurationAvgMs,1782188938052000000,1782188998052000000,0.0
Indexing.totalTimeIndexersSleptMs,1782188938052000000,1782188998052000000,0
Indexing.writesQueuedAvg,1782188938052000000,1782188998052000000,0.0
VFS.fileByIdCache.hits,1782188938052000000,1782188998052000000,0
VFS.cache.segments,1782188938052000000,1782188998052000000,111.0
VFS.cache.directoriesCreated,1782188938052000000,1782188998052000000,0
VFS.contentStorage.recordsStoredCompressed,1782188938052000000,1782188998052000000,0
VFS.contentStorage.recordsStored,1782188938052000000,1782188998052000000,1
VFS.cache.segmentsCreated,1782188938052000000,1782188998052000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1782188938052000000,1782188998052000000,0
VFS.cache.filesCreated,1782188938052000000,1782188998052000000,27
VFS.invertedFileNameIndex.requests,1782188938052000000,1782188998052000000,0
VFS.folderCaseSensitivityReads,1782188938052000000,1782188998052000000,0
FileNameCache.queries,1782188938052000000,1782188998052000000,0
VFS.fileByIdCache.misses,1782188938052000000,1782188998052000000,0
VFS.contentStorage.recordsReadSize,1782188938052000000,1782188998052000000,512
VFS.contentStorage.recordsUncompressedSize,1782188938052000000,1782188998052000000,2319
FileNameCache.totalMisses,1782188938052000000,1782188998052000000,0
VFS.contentStorage.recordsReadDecompressed,1782188938052000000,1782188998052000000,0
VFS.contentStorage.recordsDeduplicated,1782188938052000000,1782188998052000000,0
VFS.contentStorage.recordsRead,1782188938052000000,1782188998052000000,2
VFS.rootsCount,1782188938052000000,1782188998052000000,13.0
VFS.fileChildByName,1782188938052000000,1782188998052000000,1839
VFS.contentStorage.recordsStoredSize,1782188938052000000,1782188998052000000,2319
workspaceModel.workspaceFileIndexData.instances.count,1782188938052000000,1782188998052000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1782188938052000000,1782188998052000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1782188938052000000,1782188998052000000,1
workspaceModel.init.bridges.ms,1782188938052000000,1782188998052000000,0
workspaceModel.updates.ms,1782188938052000000,1782188998052000000,0
workspaceModel.cachedValue.clear.count,1782188938052000000,1782188998052000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1782188938052000000,1782188998052000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1782188938052000000,1782188998052000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1782188938052000000,1782188998052000000,0
workspaceModel.updates.precise.ms,1782188938052000000,1782188998052000000,0
workspaceModel.loading.from.cache.ms,1782188938052000000,1782188998052000000,0
workspaceModel.check.recursive.update.ms,1782188938052000000,1782188998052000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1782188938052000000,1782188998052000000,0
workspaceModel.on.changed.ms,1782188938052000000,1782188998052000000,0
workspaceModel.to.snapshot.ms,1782188938052000000,1782188998052000000,0
workspaceModel.workspaceFileIndexData.markDirty.ms,1782188938052000000,1782188998052000000,0
